R2,MAE,RMSE,MAPE,n,model,target,horizon,infra,n_train
0.5945,1.5864,2.342,65.97,16725,XGBoost,Measured PM1.0,33min,Brick Single Story,119246
0.3596,1.6807,3.5858,59.94,16380,XGBoost,Measured PM1.0,33min,Container No Insulation,119246
0.551,1.4873,2.2808,59.28,7675,XGBoost,Measured PM1.0,33min,Container With Insulation,119246
0.5168,1.421,2.1599,76.58,21150,XGBoost,Measured PM1.0,33min,Mobile/Prefab,119246
0.4305,1.8705,2.9304,75.01,82872,XGBoost,Measured PM1.0,1h,ALL,119237
0.3693,2.5266,3.3651,87.57,8046,XGBoost,Measured PM1.0,1h,Brick First Floor,119237
0.4297,2.1539,3.1022,82.12,12976,XGBoost,Measured PM1.0,1h,Brick Second Floor,119237
0.4961,1.8295,2.6121,70.82,16701,XGBoost,Measured PM1.0,1h,Brick Single Story,119237
0.3608,1.7317,3.5839,60.64,16356,XGBoost,Measured PM1.0,1h,Container No Insulation,119237
0.4513,1.6451,2.5226,67.47,7663,XGBoost,Measured PM1.0,1h,Container With Insulation,119237
0.3944,1.6683,2.4116,86.79,21130,XGBoost,Measured PM1.0,1h,Mobile/Prefab,119237
-0.019,2.8091,3.9257,116.26,82464,XGBoost,Measured PM1.0,3h,ALL,119207
-0.3251,3.9302,4.8976,139.92,7976,XGBoost,Measured PM1.0,3h,Brick First Floor,119207
-0.1576,3.4413,4.4228,143.79,12906,XGBoost,Measured PM1.0,3h,Brick Second Floor,119207
-0.1191,3.049,3.8983,125.48,16621,XGBoost,Measured PM1.0,3h,Brick Single Story,119207
0.112,2.3917,4.2315,87.05,16276,XGBoost,Measured PM1.0,3h,Container No Insulation,119207
0.142,2.2463,3.1595,89.71,7623,XGBoost,Measured PM1.0,3h,Container With Insulation,119207
-0.0212,2.3339,3.135,116.83,21062,XGBoost,Measured PM1.0,3h,Mobile/Prefab,119207
-0.3859,3.5791,4.5909,151.56,81771,XGBoost,Measured PM1.0,6h,ALL,119172
-0.4309,4.2488,5.1224,154.38,7857,XGBoost,Measured PM1.0,6h,Brick First Floor,119172
-0.52,4.2682,5.0844,185.22,12787,XGBoost,Measured PM1.0,6h,Brick Second Floor,119172
-0.7559,4.106,4.8834,179.02,16485,XGBoost,Measured PM1.0,6h,Brick Single Story,119172
-0.0745,2.9479,4.672,109.63,16140,XGBoost,Measured PM1.0,6h,Container No Insulation,119172
-0.2425,2.955,3.8133,124.63,7555,XGBoost,Measured PM1.0,6h,Container With Insulation,119172
-0.638,3.204,3.9779,152.03,20947,XGBoost,Measured PM1.0,6h,Mobile/Prefab,119172
0.613,2.0261,3.6693,64.45,83074,XGBoost,Measured PM2.5,11min,ALL,119252
0.7763,2.0112,3.0894,53.24,8081,XGBoost,Measured PM2.5,11min,Brick First Floor,119252
0.3628,2.8714,5.3702,84.67,13011,XGBoost,Measured PM2.5,11min,Brick Second Floor,119252
0.696,1.9019,3.0722,58.47,16741,XGBoost,Measured PM2.5,11min,Brick Single Story,119252
0.5471,2.0623,4.2116,58.34,16396,XGBoost,Measured PM2.5,11min,Container No Insulation,119252
0.6691,1.9208,3.1097,60.15,7683,XGBoost,Measured PM2.5,11min,Container With Insulation,119252
0.7068,1.6206,2.5995,67.88,21162,XGBoost,Measured PM2.5,11min,Mobile/Prefab,119252
0.4746,2.5809,4.2738,82.75,82994,XGBoost,Measured PM2.5,33min,ALL,119246
